omega,alpha,beta
0.31027955773722127,0.1893794575191441,0.48977870840320303
0.31027591263807747,0.1906059390065843,0.48996916141637176
0.31069063199813873,0.19035139242401075,0.48920445237760996
0.31021076528488145,0.18917351508327274,0.488585948777434
0.30744448550367226,0.18835706838352032,0.4887227053717933
0.3060311659797984,0.18842510665159873,0.48803553953946854
0.30570395620679214,0.18744528979177782,0.4887305879383944
0.30516536187429155,0.18766482596627593,0.48977741589334867
0.30540780346424945,0.18726145754266466,0.4893512305075286
0.3060424972049762,0.18604357485414225,0.49067270267975194
0.30569813582693045,0.18480126027819616,0.4909191855834972
0.3054191362933189,0.18406816915722585,0.4917962031364077
0.3063062434244475,0.18385483628170324,0.49199353859191886
0.30551363330277526,0.18302557892107993,0.49240869384001507
0.3043867354360807,0.18327572770400635,0.49231262134510934
0.3047327204068779,0.18247421685659374,0.4923242573009264
0.30620060343363265,0.1843288992169218,0.4937887838274998
0.3096877342069852,0.18173972030834895,0.49205386290030917
0.3092352326427727,0.17934688252257697,0.4911665634724196
0.30856184803868275,0.1782737467999576,0.49268249536086417
0.3094565666480142,0.1775264583362417,0.49192064189598467
0.30907240828494353,0.17792075018895354,0.4908910964323811
0.3089092030078788,0.17919936603739411,0.49128733589733253
0.30874967057179525,0.18045532789749133,0.49109873420395805
0.30945670037606754,0.18125915797174652,0.49023063149564855
0.30972034179359176,0.18236551079047958,0.4900720023846554
0.3093288983121934,0.18294081147058816,0.4881451452217173
0.3106920856018618,0.1817428945114349,0.4868928710844435
0.31176930726828966,0.18105446020786467,0.48763943002441573
0.31301990571553034,0.18237454320877458,0.4863752374437611
0.31150154999528334,0.18329665842869042,0.4852772836287772
0.31311625107452273,0.18443567087553406,0.4851676634461791
0.3145613846045994,0.18381099020601,0.48471522857753
0.3133668849525948,0.18539964609901805,0.4849789918509575
0.31288470309209626,0.18506878962174608,0.48430154927631736
0.31304577163750913,0.1864038657551679,0.48391653699338905
0.3133788491377926,0.18540251990412138,0.4839888742156757
0.31168736091091226,0.1841967662327514,0.48409182702965076
0.3116147646063744,0.1865703603964146,0.4821757032702036
0.3107256974275778,0.18785079947880076,0.48192215560493656
0.3097887520252536,0.18944008377556343,0.48174031236301995
0.30925772193406426,0.18936219841652457,0.4811275159184474
0.309691756813599,0.187352570754492,0.4816282390259027
0.30954948015398054,0.1865465414088243,0.48299685909289436
0.3084126402091778,0.18767221937772288,0.4819009507380426
0.31012061329873564,0.1879864405072663,0.4810652598379845
0.31042471219493617,0.18833475658058965,0.48093365062995
0.31123932385647907,0.18902639200641314,0.48052441585038236
0.31246024959855156,0.18864824433742391,0.4805642014106859
0.31296629182353847,0.18930328906522398,0.4812009855264088
0.31071520765450394,0.1888086865312926,0.47985671869425656
0.31157915564972505,0.18905583037237125,0.4808382279846211
0.30962389426963655,0.18813526843637515,0.48094273608441107
0.3104516020423056,0.18998182373227546,0.4799630700034329
0.3101576688989248,0.18920627192297057,0.47873954644052263
0.31122197316187444,0.189091151157738,0.4795149508091467
0.313802766190557,0.18899817730538607,0.47995475544738647
0.31626203380438556,0.18842315061427736,0.4808039430705181
0.31707455067284956,0.1883379218305342,0.48179664412122
0.31852988379062397,0.1883993156916812,0.4812582076810883
0.3174943243618458,0.1892258107835195,0.4813800242161871
0.3175952028955368,0.18821179974568783,0.4828816586815076
0.3168969287327999,0.18944541746705257,0.48299735346807393
0.3191069112459729,0.19022678171986204,0.4828357019993393
0.3176769629774375,0.19089608761771368,0.482843777838184
0.31634748057541356,0.18988907505791014,0.4836481353545089
0.3175224782971448,0.18692879704771148,0.4835035045296467
0.31689432965231457,0.1880824954260551,0.4820401433418328
0.3169435782442233,0.19004886103387347,0.4818057458164504
0.31785875398988195,0.19118710670035655,0.48157975420610893
0.3178629260946454,0.19110433340045324,0.48080870724468544
0.3186818294098809,0.19003227562659764,0.48002411076523777
0.316781753617515,0.1899166025684913,0.4790486839129579
0.31668727446234773,0.19071804960946828,0.4789071174279824
0.31501666761628566,0.19008184872690712,0.47899797827647905
0.31561073796044536,0.18921453426053791,0.4796291997219669
0.31410476069593857,0.18753009694563208,0.48009315239397443
0.31502078448779586,0.1872059040925425,0.47960659033134073
0.3163738513221728,0.18490925400505692,0.4810995713535432
0.315791947426122,0.18461941276777122,0.4813254199411489
0.316776833946751,0.1858824954335298,0.4812401304967857
0.31625775077030516,0.1878647541735854,0.4831166342520688
0.316771979128499,0.18525400581496915,0.48250261838635444
0.31539925897733556,0.18466892486040368,0.481195711150752
0.3131933578565714,0.1855088257289702,0.48123408668549805
0.3151729967060982,0.18496561257354868,0.480759115856766
0.31505086070072064,0.18373932608906432,0.4789374123772311
0.315684600996135,0.1845480675303021,0.4786174585540678
0.3158144443810642,0.18568563291149204,0.47758250322170237
0.31486708938322977,0.18769390324914004,0.4779829135405045
0.3162244224219659,0.18723803667183586,0.47903936859054624
0.317555943752645,0.18611446983856897,0.4777468607162017
0.3165835465664452,0.18515308411559142,0.47824141052351365
