omega,alpha,beta
0.2033121445529426,0.16279708986991423,0.6044409370186814
0.20642639224440645,0.17275029373321954,0.6071462114705131
0.2184544900018785,0.17424140941180932,0.5988952222075066
0.22069854140413392,0.16934292554972782,0.5923714624718652
0.22648656111056578,0.1803568439809836,0.5859881964414265
0.2379690284312138,0.18143380202129303,0.584019804730566
0.2335857849025214,0.17897744768477847,0.5812879638628116
0.23401476077964026,0.17335382537313415,0.5858924056141828
0.21070012621599993,0.17903583945166085,0.6009800403614991
0.21230592378175794,0.16845185847872635,0.6049259674195331
0.23491774573346114,0.1511613063497161,0.6059982756874844
0.21066946364417577,0.14303795476199344,0.6322930883265168
0.22048467848697723,0.15878628195075536,0.6211874479235426
0.20533433812671822,0.15023778101744142,0.625026663768901
0.22062307902056846,0.14590907813777182,0.6037116379009967
0.22226398898555794,0.16400517723092578,0.6013755728961657
0.23214835162755235,0.16640915131476064,0.589816965332221
0.22985359372466801,0.1726385510559706,0.5798092614852149
0.2285718637939375,0.1981597093882548,0.5745220871861424
0.23424362679870242,0.18937873219332557,0.5836652468368714
0.23535646955579362,0.1856303045851422,0.5685104810806412
0.2513573399552946,0.19168994103440606,0.564045901755769
0.24770129294453844,0.18382882550615096,0.5709333998526446
0.25580552652651706,0.1962704519225865,0.5465256004892731
0.261180384460031,0.1760714544118412,0.5403221887899157
0.2622069759937826,0.18624886398698365,0.5302208580272053
0.24326189496937045,0.18616785954101883,0.5494976912049153
0.24172779358698163,0.19929057736848863,0.5592069344909566
0.2634460149313665,0.17899125940001384,0.5448186030694606
0.26648804134881143,0.1865782403351658,0.5378870829670775
0.26085439190261045,0.17970291439346384,0.5463423017783016
0.26306503221638905,0.1820096118602242,0.544922355799501
0.25566594446359925,0.18571833455947806,0.5504982489255593
0.25291870193360527,0.18316887866185225,0.5504485962247306
0.25177823866088667,0.16862501915588463,0.5435060698814851
0.24763405370689356,0.18191941932947553,0.5633952621309133
0.2551265963019387,0.18173486979364237,0.5468041269567194
0.25078286362795194,0.18579141984562697,0.553663941863776
0.24455367622672988,0.18258259885600422,0.572263873846976
0.24698308693019083,0.1943064821309884,0.5700075315103391
0.248989721754071,0.20327888522415688,0.5525553484970879
0.23743954029262435,0.19576949998078075,0.5562157441436554
0.24002624750040327,0.18075110570390754,0.5587148546104961
0.25937903115495775,0.17098742472043393,0.5616945518061622
0.25053924704452557,0.20401654633962898,0.5477838575302453
0.26648257273845005,0.1950518353491684,0.5136187904795303
0.29353436086074836,0.1925539071595308,0.521958465374862
0.28024933657506557,0.17456772864661552,0.5481915289931703
0.2682899027130993,0.18887376165018527,0.5444382823519306
0.27820908918973336,0.19872776855954946,0.5383229676076642
0.2734862825440976,0.182854346497435,0.5515482418964947
0.2660264850090857,0.18751226849601865,0.5491738652550506
0.27291175856981686,0.17328433375900595,0.5611492860575995
0.24973049593852603,0.1920408482761666,0.5672797821261822
0.23736081196772615,0.1902003493114957,0.5692261746220151
0.24419250663356806,0.20328329738022008,0.5568507018663862
0.25240019809134556,0.19716477515256361,0.5437680839688092
0.2599583497932751,0.17979079857345728,0.546584127994872
0.2730582814236491,0.17474905942224228,0.5454608292049028
0.27096544901859754,0.17747722320893272,0.5519007401724928
0.2713498323669591,0.15677865715032047,0.5471567866969568
0.26643820761611775,0.16187025654096102,0.541290584238587
0.2659776336737879,0.17793196788019,0.5560366712154385
0.26468871426511364,0.1724001077736367,0.5439342537372274
0.2500876252807926,0.17808837584602144,0.5563877257564348
0.27602827654977974,0.18416665304634658,0.5285223543342142
0.2799128070746838,0.1848188649777588,0.5197591341694782
0.28974096148759687,0.18840027136488077,0.5261175165208483
0.2895980266435841,0.19606312059629802,0.5140873015060863
0.30513824923147975,0.1944748535277364,0.4860867531152139
0.3108742067185202,0.20123541588775465,0.4912585459078566
0.3106788438019079,0.20226020364727282,0.49157341795446885
0.3150288816624062,0.20601751072846503,0.46289799848288443
0.3338805396826224,0.18060549796444011,0.4624666347823577
0.32856748591417057,0.17535102476663245,0.4670549419763997
0.32066342311398377,0.1746269413076611,0.47259764818061584
0.31516987840301136,0.1853475305230434,0.4931304397104612
0.31734161818123086,0.18191208474375098,0.4900864475838952
0.30593718490917016,0.18018398875757663,0.4949351024548684
0.2929488829595744,0.19384377835176833,0.5160374690961606
0.28522799903530777,0.20201988602941326,0.5171444465923976
0.29471678195145806,0.1774209577824476,0.5229947787555488
