omega,alpha,beta
0.23573211868672847,0.17000126719182937,0.5835329176137855
0.2427977153229158,0.16858790998913506,0.5749685727241515
0.23183514859023222,0.16979136681155363,0.5937643737475319
0.23913235242660325,0.16714104174291594,0.5847453081620078
0.24306807375018105,0.17283516438275093,0.5688106363278039
0.24459161083725656,0.1809136007884984,0.5592894980060967
0.25407448456902143,0.1927077816074884,0.5542585677348835
0.2573013690420333,0.1794970430948602,0.5481544439207972
0.23923692272478045,0.17840589927126968,0.579490364260359
0.2417380679949652,0.1573046874232031,0.5817178681512163
0.25187311336403345,0.15760719733332879,0.5895203807199074
0.2496328765577442,0.1397207684888788,0.5836053745544888
0.259085811770275,0.1379601589665516,0.5727025830286424
0.2502053722287035,0.12880105550609827,0.5904690156526252
0.25925811921687486,0.13746757782974722,0.5847865132470779
0.26388398761284204,0.1407297352398368,0.5779477308390449
0.270400972827725,0.15841804233145865,0.5499355740050131
0.2522626092879103,0.17265809572534185,0.5688383611029145
0.24758473951705331,0.16515566881026883,0.5770952791166868
0.24834997766196412,0.15442947697034712,0.5966577769560463
0.2354765585211163,0.14183836711785305,0.600445902003654
0.23310898577739672,0.16067612604534195,0.5992325114360105
0.224691401000867,0.15757696967132379,0.5973344255690892
0.23329176778508498,0.16718229827394107,0.5956866137938418
0.2360970704677191,0.15578526300297457,0.5939734122289837
0.22100820098413965,0.17403769134384728,0.5923577011881938
0.23234723195956913,0.17864425324746025,0.5918274411113945
0.21906721197994034,0.1683819527960123,0.6044363929744156
0.20692283676599088,0.16937558746886808,0.6047703024457949
0.2079876697722504,0.16854425250708246,0.6025547290950114
0.243696656824567,0.1427988811047788,0.5807998680279005
0.23582888383524947,0.1606880657472735,0.5767655842215365
0.23672026294300702,0.185967925337283,0.5681386912895602
0.2350137033439327,0.20250721979244005,0.5513840255214726
0.22563290606919623,0.2028062740649178,0.5678868726161629
0.247187516363029,0.1620110444945587,0.569691995423767
0.24480357581765247,0.17083407366312983,0.5685388834302215
0.2588505180468074,0.1722365646417788,0.5698770914703981
0.26324193475753327,0.1643172411759848,0.5618229659769906
0.24898523738707756,0.1875511128581093,0.5642759949262351
0.23015017888344533,0.1613805982475535,0.5942089565065067
0.23148846932161662,0.14872493681339477,0.6024447760499231
0.22608218439529118,0.17552816735594434,0.569169963737925
0.2449707239793164,0.16196879566865574,0.5561793386764617
0.2572492546382635,0.17870401876306916,0.536765703835389
0.2681730095208404,0.19522833040143373,0.5253576297525793
0.2720996072780795,0.20344003462653293,0.5352046460303076
0.26702862612760586,0.20357235523792191,0.5429674991458882
0.250453237484091,0.19136399485175867,0.5379509455535156
0.26440245727569867,0.18610696310782723,0.5265778812451507
0.24851232267746026,0.1770026309063675,0.5625428273982409
0.25044487721267894,0.16189337387324765,0.5688118417182292
0.2561517489813336,0.15689863403545437,0.5593175670051785
0.2512276253471503,0.15614362084207759,0.56507180331373
0.2519528456341439,0.13511928463013415,0.5811128362765134
0.2563137447318338,0.14566630839484193,0.579104075015596
0.24876425102197627,0.14793377093246524,0.5837673071221431
0.25639122312909546,0.15563509709334655,0.5840532683274618
0.24255303073488624,0.161110255439803,0.5822385546068426
0.2334144757690761,0.15247076931576622,0.5844499673511631
0.25159561539280717,0.17795508964712692,0.5838903146416297
0.225668092933689,0.19594462928144407,0.5861405067172551
0.22707013593316208,0.17069982608796433,0.5937672423188406
0.2336869909610935,0.16247998443701098,0.5912018264218372
0.24261033786609676,0.1665075101665148,0.5920323703249807
0.23182832037548715,0.16609966304653193,0.5889269049127146
0.2287546027380365,0.1667544314806869,0.5890581097022753
0.23043906403323103,0.17188467242261088,0.5813259879295594
0.2373863498384325,0.15717641561877638,0.5886108104302944
0.2343851591480563,0.1750371514804761,0.5911200677188239
0.2079064039926893,0.16189365770444314,0.6075468000766225
0.21734930722684584,0.16120136546329542,0.6138439275294707
0.19972228792756033,0.16836685763844456,0.629451118281858
0.20019236139612098,0.17000911861254173,0.6237011530025662
0.196221756453944,0.18515647745211666,0.6050644802400383
0.2030219028628366,0.17703981624687148,0.5995316409819763
0.20807393579631742,0.1580620625579575,0.6354791140004331
0.21388770309418104,0.14324052114733415,0.6227657520483598
0.23954242691224376,0.14090329640878563,0.6143337798443819
0.2672584300526012,0.1335119909516037,0.5954128911512756
0.2436085118729374,0.135710707511934,0.5966640768408535
0.2396266609353759,0.15273856187109797,0.5902955310191563
0.23577722299395848,0.1615683845011506,0.5863916145023199
0.20896832225970963,0.17116664262935094,0.6041501494610274
0.2045853457885507,0.17160323729270732,0.6188807347698763
0.23295046916619228,0.1563500438661692,0.6076881188206565
